run_id,timestamp,json_file,series_title,episode,images,videos,ref_image,flow_project_url,status
RUN_260420221949,2026-04-20 22:19:49,sample_gemeni_prompt_elephant_1.json,น้องช้างจอมพลังแห่งความดี,2,1,1,ref_elephant.jpg,https://labs.google/fx/tools/flow/project/8531785b-24e8-4d33-8a7a-c0a878764bcf,FAIL
RUN_260420222041,2026-04-20 22:20:41,sample_gemeni_prompt_elephant_1.json,น้องช้างจอมพลังแห่งความดี,2,1,1,ref_cartoon-elephant-4k-minimal-gray-backgrounds-cartoon-3d-animals-wallpapers4screen.com-1920x1080 (1).jpg,Initializing...,FAIL
RUN_260420222708,2026-04-20 22:27:08,sample_gemeni_prompt_elephant_1.json,น้องช้างจอมพลังแห่งความดี,2,1,1,ref_elephant.jpg,https://labs.google/fx/tools/flow/project/ff38f38f-23d8-46df-a88a-380059b79824,COMPLETE
RUN_260420222754,2026-04-20 22:27:54,sample_gemeni_prompt_elephant_1.json,น้องช้างจอมพลังแห่งความดี,2,1,1,ref_cartoon-elephant-4k-minimal-gray-backgrounds-cartoon-3d-animals-wallpapers4screen.com-1920x1080 (1).jpg,https://labs.google/fx/tools/flow/project/ad517681-e5e4-4804-a440-f43dd9a2a9a5,COMPLETE
RUN_260420223210,2026-04-20 22:32:10,sample_gemeni_prompt_elephant_1.json,น้องช้างจอมพลังแห่งความดี,2,1,1,ref_cartoon-elephant-4k-minimal-gray-backgrounds-cartoon-3d-animals-wallpapers4screen.com-1920x1080 (1).jpg,https://labs.google/fx/tools/flow/project/ca054457-8349-45b1-8aeb-7325882c8db4,COMPLETE
RUN_260420224910,2026-04-20 22:49:10,sample_elephant_3scene.json,น้องช้างจอมพลังแห่งความดี,2,3,3,ref_elephant.jpg,https://labs.google/fx/tools/flow/project/20c92361-929b-438a-bd0e-741a2729018d,COMPLETE
RUN_260420225236,2026-04-20 22:52:36,story1_test.json,Unknown Series,0,0,0,ref_มะบิ.jpeg_202604182234.jpeg,https://labs.google/fx/tools/flow/project/bb1d6ce0-9c3e-43d5-be54-d08e47273410,COMPLETE
RUN_260420234503,2026-04-20 23:45:03,sample_gemeni_prompt_elephant.json,น้องช้างจอมพลังแห่งความดี,2,10,10,ref_การ์ตูนรูปมะลิ.png,https://labs.google/fx/tools/flow/project/f1ebeb66-f15e-4f41-ad8c-2df56dfcd7c6,FAIL
RUN_260420234854,2026-04-20 23:48:54,sample_gemeni_prompt_elephant.json,น้องช้างจอมพลังแห่งความดี,2,10,10,ref_การ์ตูนรูปมะลิ.png,https://labs.google/fx/tools/flow/project/aec2eb61-98a4-442f-afce-75c495f54ef8,FAIL
RUN_260421191224,2026-04-21 19:12:24,สเปรพ่นจมูก.json,มะลิทำความดี,1,5,5,ref_AFF.png,https://labs.google/fx/tools/flow/project/27af6802-9c08-490b-b44c-d6a92d4a404b,FAIL
RUN_260421191755,2026-04-21 19:17:55,สเปรพ่นจมูก.json,มะลิทำความดี,1,5,5,ref_AFF.png,https://labs.google/fx/tools/flow/project/fa833464-a50a-4d0d-81a4-70529ad64fbf,COMPLETE
RUN_260422000128,2026-04-22 00:01:28,2026-04-22-00-00_สเปรพ่นจมูก.json,มะลิทำความดี,1,5,5,ref_ref_AFF.png,https://labs.google/fx/tools/flow/project/d76b0738-9f67-4b7b-9ec7-bbdd62bd6ffd,ERROR
RUN_260422000624,2026-04-22 00:06:24,2026-04-22-00-06_สเปรพ่นจมูก.json,มะลิทำความดี,1,5,5,ref_ref_AFF.png,https://labs.google/fx/tools/flow/project/124e3433-8528-4248-9ae7-733b0c31fb96,FAIL
RUN_260422000736,2026-04-22 00:07:36,2026-04-22-00-06_สเปรพ่นจมูก.json,มะลิทำความดี,1,5,5,ref_ref_AFF.png,https://labs.google/fx/tools/flow/project/39c21e4d-ea70-477b-bff7-281f557908b0,ERROR
RUN_260422001747,2026-04-22 00:17:47,2026-04-22-00-17_สเปรพ่นจมูก.json,มะลิทำความดี,1,5,5,ref_ref_AFF.png,https://labs.google/fx/tools/flow/project/9b7d0677-9ff3-4153-8cd5-40c7b6fa7847,FAIL
RUN_260422001918,2026-04-22 00:19:18,2026-04-22-00-17_สเปรพ่นจมูก.json,มะลิทำความดี,1,5,5,ref_ref_AFF.png,Initializing...,FAIL
RUN_260422002621,2026-04-22 00:26:21,2026-04-22-00-26_สเปรพ่นจมูก.json,มะลิทำความดี,1,5,5,ref_ref_AFF.png,https://labs.google/fx/tools/flow/project/c7db1fda-19f3-47ce-8ab6-29d15ae4d2b2,FAIL
RUN_260422003705,2026-04-22 00:37:05,2026-04-22-00-36_สเปรพ่นจมูก.json,มะลิทำความดี,1,5,5,ref_ref_AFF.png,https://labs.google/fx/tools/flow/project/0dd03c6d-198b-4d53-9179-0300fc5196b8,ERROR
RUN_260422230120,2026-04-22 23:01:20,2026-04-22-23-00_sample_gemeni_prompt_elephant_1.json,น้องช้างจอมพลังแห่งความดี,2,1,1,ref_elephant.jpg,https://labs.google/fx/tools/flow/project/3de54cb0-6f12-4db6-8a82-68ecb7706138,FAIL
RUN_260422231948,2026-04-22 23:19:48,2026-04-22-23-19_sample_gemeni_prompt_elephant_1.json,น้องช้างจอมพลังแห่งความดี,2,1,1,ref_elephant.jpg,https://labs.google/fx/tools/flow/project/8a97942f-b666-4f35-99c1-77172093599f,FAIL
RUN_260422232337,2026-04-22 23:23:37,2026-04-22-23-23_sample_gemeni_prompt_elephant_1.json,น้องช้างจอมพลังแห่งความดี,2,1,1,ref_elephant.jpg,https://labs.google/fx/tools/flow/project/5d811b2e-84c6-4a87-b4e0-9fa5f7de0a10,FAIL
RUN_260422232535,2026-04-22 23:25:35,2026-04-22-23-25_sample_gemeni_prompt_elephant_1.json,น้องช้างจอมพลังแห่งความดี,2,1,1,ref_elephant.jpg,https://labs.google/fx/tools/flow/project/020c1877-2340-4ea4-8d51-b31ce09d6dc4,FAIL
RUN_260422232707,2026-04-22 23:27:07,2026-04-22-23-25_sample_gemeni_prompt_elephant_1.json,น้องช้างจอมพลังแห่งความดี,2,1,1,ref_elephant.jpg,Initializing...,FAIL
